transaction_id,customer_id,date,time,description,payee,amount,channel
T_C002_0026,C002,2026-06-23,15:14:00,Payment to Payee_B_C002,Payee_B_C002,48.21,Web
T_C004_0027,C004,2026-06-23,15:16:00,Payment to Payee_C_C004,Payee_C_C004,15.13,Web
T_C005_0030,C005,2026-06-23,15:43:00,Payment to Payee_B_C005,Payee_B_C005,110.67,Web
T_C005_0031,C005,2026-06-23,16:24:00,Payment to Payee_A_C005,Payee_A_C005,125.27,Web
T_C007_0027,C007,2026-06-23,20:37:00,Payment to Payee_A_C007,Payee_A_C007,149.94,Web
T_C006_0022,C006,2026-06-24,10:31:00,Payment to Payee_C_C006,Payee_C_C006,98.97,Web
T_C001_0021,C001,2026-06-24,12:04:00,Payment to Payee_C_C001,Payee_C_C001,39.54,Web
T_C004_0028,C004,2026-06-24,12:22:00,Payment to Payee_A_C004,Payee_A_C004,130.7,Web
T_C005_0032,C005,2026-06-24,13:09:00,Payment to Payee_C_C005,Payee_C_C005,48.59,Web
T_C005_0034,C005,2026-06-24,14:39:00,Payment to Payee_A_C005,Payee_A_C005,117.25,Web
T_C001_0023,C001,2026-06-24,14:56:00,Payment to Payee_B_C001,Payee_B_C001,138.04,Web
T_C003_0024,C003,2026-06-24,16:08:00,Payment to Payee_B_C003,Payee_B_C003,64.41,Web
T_C006_0021,C006,2026-06-24,17:08:00,Payment to Payee_B_C006,Payee_B_C006,90.47,Web
T_C006_0023,C006,2026-06-24,18:59:00,Payment to Payee_C_C006,Payee_C_C006,149.99,Web
T_C001_0022,C001,2026-06-24,19:20:00,Payment to Payee_B_C001,Payee_B_C001,39.77,Web
T_C005_0033,C005,2026-06-24,20:07:00,Payment to Payee_C_C005,Payee_C_C005,14.51,Web
T_C005_0035,C005,2026-06-25,11:04:00,Payment to Payee_A_C005,Payee_A_C005,24.13,Web
T_C004_0029,C004,2026-06-25,12:07:00,Payment to Payee_B_C004,Payee_B_C004,121.91,Web
T_C001_0024,C001,2026-06-25,12:08:00,Payment to Payee_C_C001,Payee_C_C001,44.53,Web
T_C002_0027,C002,2026-06-25,13:42:00,Payment to Payee_B_C002,Payee_B_C002,105.08,Web
T_C003_0027,C003,2026-06-25,14:17:00,Payment to Payee_B_C003,Payee_B_C003,14.58,Web
T_C004_0030,C004,2026-06-25,14:47:00,Payment to Payee_B_C004,Payee_B_C004,71.56,Web
T_C006_0024,C006,2026-06-25,15:18:00,Payment to Payee_B_C006,Payee_B_C006,29.64,Web
T_C002_0029,C002,2026-06-25,17:34:00,Payment to Payee_B_C002,Payee_B_C002,13.78,Web
T_C003_0025,C003,2026-06-25,17:47:00,Payment to Payee_B_C003,Payee_B_C003,111.72,Web
T_C007_0029,C007,2026-06-25,17:54:00,Payment to Payee_B_C007,Payee_B_C007,147.57,Web
T_C003_0026,C003,2026-06-25,18:06:00,Payment to Payee_C_C003,Payee_C_C003,126.72,Web
T_C002_0028,C002,2026-06-25,19:10:00,Payment to Payee_A_C002,Payee_A_C002,127.67,Web
T_C007_0030,C007,2026-06-26,10:11:00,Payment to Payee_B_C007,Payee_B_C007,43.12,Web
T_C004_0031,C004,2026-06-26,10:31:00,Payment to Payee_B_C004,Payee_B_C004,106.89,Web
T_C005_0038,C005,2026-06-26,11:34:00,Payment to Payee_A_C005,Payee_A_C005,40.42,Web
T_C005_0037,C005,2026-06-26,11:47:00,Payment to Payee_B_C005,Payee_B_C005,16.19,Web
T_C001_0026,C001,2026-06-26,14:23:00,Payment to Payee_A_C001,Payee_A_C001,40.7,Web
T_C006_0026,C006,2026-06-26,15:08:00,Payment to Payee_B_C006,Payee_B_C006,37.32,Web
T_C003_0028,C003,2026-06-26,15:28:00,Payment to Payee_B_C003,Payee_B_C003,143.08,Web
T_C006_0027,C006,2026-06-26,16:32:00,Payment to Payee_B_C006,Payee_B_C006,101.43,Web
T_C006_0025,C006,2026-06-26,17:03:00,Payment to Payee_A_C006,Payee_A_C006,131.17,Web
T_C005_0036,C005,2026-06-26,17:43:00,Payment to Payee_A_C005,Payee_A_C005,108.46,Web
T_C001_0025,C001,2026-06-26,19:37:00,Payment to Payee_C_C001,Payee_C_C001,69.98,Web
T_C004_0032,C004,2026-06-26,20:33:00,Payment to Payee_A_C004,Payee_A_C004,47.34,Web
T_C007_0031,C007,2026-06-26,20:47:00,Payment to Payee_C_C007,Payee_C_C007,107.67,Web
T_C004_0033,C004,2026-06-27,09:27:00,Payment to Payee_A_C004,Payee_A_C004,94.34,Web
T_C001_0027,C001,2026-06-27,09:48:00,Payment to Payee_A_C001,Payee_A_C001,16.6,Web
T_C006_0029,C006,2026-06-27,10:05:00,Payment to Payee_A_C006,Payee_A_C006,89.16,Web
T_C001_0028,C001,2026-06-27,10:40:00,Payment to Payee_C_C001,Payee_C_C001,32.4,Web
T_C006_0030,C006,2026-06-27,12:02:00,Payment to Payee_C_C006,Payee_C_C006,48.48,Web
T_C004_0035,C004,2026-06-27,13:42:00,Payment to Payee_B_C004,Payee_B_C004,51.39,Web
T_C001_0029,C001,2026-06-27,14:38:00,Payment to Payee_B_C001,Payee_B_C001,18.89,Web
T_C006_0028,C006,2026-06-27,14:45:00,Payment to Payee_B_C006,Payee_B_C006,127.58,Web
T_C004_0034,C004,2026-06-27,16:18:00,Payment to Payee_A_C004,Payee_A_C004,54.97,Web
T_C005_0039,C005,2026-06-27,16:18:00,Payment to Payee_C_C005,Payee_C_C005,42.78,Web
T_C003_0030,C003,2026-06-28,08:25:00,Payment to Payee_A_C003,Payee_A_C003,48.62,Web
T_C004_0037,C004,2026-06-28,08:46:00,Payment to Payee_B_C004,Payee_B_C004,131.81,Web
T_C004_0036,C004,2026-06-28,10:44:00,Payment to Payee_B_C004,Payee_B_C004,72.15,Web
T_C006_0031,C006,2026-06-28,10:49:00,Payment to Payee_C_C006,Payee_C_C006,74.02,Web
T_C002_0030,C002,2026-06-28,10:55:00,Payment to Payee_A_C002,Payee_A_C002,74.64,Web
T_C005_0041,C005,2026-06-28,11:19:00,Payment to Payee_C_C005,Payee_C_C005,132.68,Web
T_C002_0031,C002,2026-06-28,12:24:00,Payment to Payee_B_C002,Payee_B_C002,55.83,Web
T_C002_0032,C002,2026-06-28,13:21:00,Payment to Payee_B_C002,Payee_B_C002,116.57,Web
T_C001_0030,C001,2026-06-28,16:16:00,Payment to Payee_A_C001,Payee_A_C001,145.95,Web
T_C003_0029,C003,2026-06-28,16:57:00,Payment to Payee_B_C003,Payee_B_C003,146.9,Web
T_C004_0038,C004,2026-06-28,17:27:00,Payment to Payee_A_C004,Payee_A_C004,48.44,Web
T_C007_0032,C007,2026-06-28,17:36:00,Payment to Payee_A_C007,Payee_A_C007,29.89,Web
T_C005_0040,C005,2026-06-28,17:38:00,Payment to Payee_B_C005,Payee_B_C005,118.16,Web
T_C001_0031,C001,2026-06-28,18:46:00,Payment to Payee_C_C001,Payee_C_C001,26.04,Web
T_C001_0032,C001,2026-06-28,20:17:00,Payment to Payee_B_C001,Payee_B_C001,117.6,Web
T_C006_0032,C006,2026-06-28,20:49:00,Payment to Payee_C_C006,Payee_C_C006,79.34,Web
T_C007_0033,C007,2026-06-28,20:56:00,Payment to Payee_C_C007,Payee_C_C007,145.85,Web
T_C003_0031,C003,2026-06-29,09:42:00,Payment to Payee_C_C003,Payee_C_C003,39.69,Web
T_C007_0034,C007,2026-06-29,10:31:00,Payment to Payee_A_C007,Payee_A_C007,15.31,Web
T_C003_0033,C003,2026-06-29,11:08:00,Payment to Payee_A_C003,Payee_A_C003,120.18,Web
T_C007_0035,C007,2026-06-29,11:38:00,Payment to Payee_C_C007,Payee_C_C007,40.63,Web
T_C005_0042,C005,2026-06-29,14:19:00,Payment to Payee_C_C005,Payee_C_C005,48.52,Web
T_C002_0034,C002,2026-06-29,15:01:00,Payment to Payee_A_C002,Payee_A_C002,114.86,Web
T_C003_0032,C003,2026-06-29,17:01:00,Payment to Payee_B_C003,Payee_B_C003,17.08,Web
T_C002_0033,C002,2026-06-29,20:53:00,Payment to Payee_A_C002,Payee_A_C002,69.02,Web
T_C007_0036,C007,2026-06-30,08:21:00,Payment to Payee_A_C007,Payee_A_C007,138.51,Web
T_C002_0036,C002,2026-06-30,08:48:00,Payment to Payee_A_C002,Payee_A_C002,14.34,Web
T_C004_0040,C004,2026-06-30,10:01:00,Payment to Payee_C_C004,Payee_C_C004,29.99,Web
T_C002_0035,C002,2026-06-30,11:41:00,Payment to Payee_C_C002,Payee_C_C002,19.61,Web
T_C004_0039,C004,2026-06-30,13:32:00,Payment to Payee_C_C004,Payee_C_C004,122.15,Web
T_C001_0033,C001,2026-06-30,14:10:00,Payment to Payee_C_C001,Payee_C_C001,73.52,Web
T_C005_0043,C005,2026-06-30,18:43:00,Payment to Payee_B_C005,Payee_B_C005,69.81,Web
T_C004_0041,C004,2026-06-30,18:50:00,Payment to Payee_A_C004,Payee_A_C004,71.34,Web
T_C001_0034,C001,2026-06-30,19:16:00,Payment to Payee_A_C001,Payee_A_C001,146.06,Web
T_C007_0037,C007,2026-06-30,20:08:00,Payment to Payee_A_C007,Payee_A_C007,57.71,Web
T_C007_0038,C007,2026-06-30,20:54:00,Payment to Payee_A_C007,Payee_A_C007,131.55,Web
T_C002_0037,C002,2026-07-01,08:39:00,Payment to Payee_A_C002,Payee_A_C002,31.33,Web
T_C006_0034,C006,2026-07-01,16:52:00,Payment to Payee_C_C006,Payee_C_C006,115.95,Web
T_C003_0034,C003,2026-07-01,17:13:00,Payment to Payee_A_C003,Payee_A_C003,123.83,Web
T_C006_0033,C006,2026-07-01,20:34:00,Payment to Payee_B_C006,Payee_B_C006,125.26,Web
T_C003_0036,C003,2026-07-02,08:17:00,Payment to Payee_A_C003,Payee_A_C003,130.18,Web
T_C002_0040,C002,2026-07-02,10:38:00,Payment to Payee_C_C002,Payee_C_C002,95.01,Web
